像素x坐标,像素y坐标,摄像头x坐标,摄像头y坐标
776,636,978,3112
566,632,119,3264
369,616,-738,3415
680,410,1096,5046
564,416,378,5046
448,422,-340,5046
661,370,1096,5763
557,375,378,5763
452,379,-340,5763
646,335,1096,6481
552,340,378,6481
457,344,-340,6481
634,309,1096,7198
548,313,378,7198
461,316,-340,7198
623,284,1096,7917
543,287,378,7917
464,291,-340,7917
614,263,1096,8635
540,267,378,8635
467,270,-340,8635
607,246,1096,9353
538,249,378,9353
471,252,-340,9353
600,231,1096,10071
535,233,378,10071
471,236,-340,10071
595,218,1096,10789
534,221,378,10789
473,223,-340,10789
589,207,1096,11510
532,209,378,11510
474,211,-340,11510
584,196,1096,12225
530,198,378,12225
476,200,-340,12225
580,187,1096,12943
529,189,378,12943
478,191,-340,12943
577,178,1096,13661
528,181,378,13661
479,183,-340,13661
573,171,1096,14379
526,173,378,14379
480,174,-340,14379
571,164,1096,15097
526,165,378,15097
481,168,-340,15097
567,158,1096,15815
525,159,378,15815
482,161,-340,15815
565,153,1096,16533
523,154,378,16533
483,156,-340,16533
563,147,1096,17251
523,147,378,17251
484,150,-340,17251
560,142,1096,17969
523,142,378,17969
484,145,-340,17969
559,138,1096,18687
522,139,378,18687
486,139,-340,18687
556,133,1096,19405
522,134,378,19405
486,136,-340,19405
555,129,1096,20123
521,130,378,20123
487,132,-340,20123
553,126,1096,20841
520,126,378,20841
487,128,-340,20841
552,123,1096,21559
520,123,378,21559
488,124,-340,21559
551,119,1096,22277
520,120,378,22277
488,122,-340,22277
549,115,1096,22997
519,117,378,22997
490,118,-340,22997
